network,config,method,replicate,metric,value,status
Bendiksby_2011,conf_ils_low_10M,grampa,1,edit_distance,0.9259259259259259,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,edit_distance_multree,0.9458483754512635,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,rf_distance,0.35,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,num_rets_bias,-5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ploidy_diff.dist,0.8,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ploidy_diff.FP,24.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ploidy_diff.FN,0.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ploidy_diff.TP,6.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_leaf_jaccard.dist,0.9944444444444445,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_leaf_jaccard.FP,0.16111111111111112,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_leaf_jaccard.TP,0.005555555555555536,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_sisters_jaccard.dist,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_sisters_jaccard.FP,0.125,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_sisters_jaccard.FN,0.9166666666666666,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,1,ret_sisters_jaccard.TP,0.04166666666666663,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,edit_distance,0.9365079365079365,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,edit_distance_multree,0.8852459016393442,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,rf_distance,0.24050632911392406,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,num_rets_bias,-5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ploidy_diff.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ploidy_diff.FP,0.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ploidy_diff.FN,5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ploidy_diff.TP,1.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_leaf_jaccard.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_leaf_jaccard.FP,0.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_leaf_jaccard.TP,0.16666666666666663,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_sisters_jaccard.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_sisters_jaccard.FP,0.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_sisters_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,2,ret_sisters_jaccard.TP,0.16666666666666663,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,edit_distance,0.9047619047619048,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,edit_distance_multree,0.8961748633879781,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,rf_distance,0.189873417721519,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,num_rets_bias,-5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ploidy_diff.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ploidy_diff.FP,0.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ploidy_diff.FN,5.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ploidy_diff.TP,1.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ret_leaf_jaccard.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ret_leaf_jaccard.FP,0.0,SUCCESS
Bendiksby_2011,conf_ils_low_10M,grampa,3,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
