network,config,method,metric,mean,std,min,max,n_valid
Bendiksby_2011,conf_ils_medium_10M,grampa,edit_distance,0.9470899470899472,0.025920526378657955,0.9047619047619048,0.9682539682539683,5
Bendiksby_2011,conf_ils_medium_10M,grampa,num_rets_diff,5.0,0.0,5.0,5.0,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ploidy_diff.FN,3.0,0.0,3.0,3.0,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ploidy_diff.FP,4.0,0.0,4.0,4.0,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ploidy_diff.TP,3.0,0.0,3.0,3.0,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ploidy_diff.dist,0.7,0.0,0.7,0.7,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_leaf_jaccard.FN,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_leaf_jaccard.FP,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_leaf_jaccard.TP,0.023809523809523725,0.0,0.023809523809523725,0.023809523809523725,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_leaf_jaccard.dist,0.9761904761904763,0.0,0.9761904761904763,0.9761904761904763,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_sisters_jaccard.FN,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_sisters_jaccard.FP,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_sisters_jaccard.TP,0.04166666666666663,0.0,0.04166666666666663,0.04166666666666663,5
Bendiksby_2011,conf_ils_medium_10M,grampa,ret_sisters_jaccard.dist,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,5
Bendiksby_2011,conf_ils_medium_10M,mpsugar,edit_distance,1.2,0.020628136179489873,1.1693121693121693,1.2222222222222223,5
Bendiksby_2011,conf_ils_medium_10M,mpsugar,num_rets_diff,5.2,0.44721359549995787,5.0,6.0,5
